References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,LCSC,Digikey,Mouser,RS,Newark,Farnell
C1,1,Capacitor 100p 0805,AVX,08051A101J4T4A,KEMET,C0805C101J5GACTU,Samsung,CL21C101JBANNNC,,,C1790,399-1122-6-ND,80C0805C101J5G,2644292,,1414656
"C3, C5, C6, C11, C15, C20",6,Capacitor 10u 1206,AVX,TAJA106K016RNJ,Samsung,CL31A106KAHNNNE,,,,,C7171,1276-1075-6-ND,581TAJA106K016R,1360124,,1432339
"C4, C7, C8, C9, C10, C12, C13, C16, C17, C19, C21, C22, C23",13,Capacitor 0.1u 0805,Yageo,CC0805KRX7R9BB104,Murata,GRM21BR71H104KA01L,,,,,C77082,311-1140-6-ND,603CC805KRX7R9BB104,6698842,,3019949
C18,1,Capacitor 10n 0805,AVX,08051C103KAT2A,KEMET,C0805C103J5GACTU,,,,,C188188,478-1358-6-ND,58108051C103K,8029914,,1535573
P2,1,3-pin general header PLS-3,,,,,,,,,,,,,,
P3,1,2-pin general header SCSL-2,,,,,,,,,,,,,,
P4,1,"Header, 3-Pin, Dual row Header 3X2 PBD-6",,,,,,,,,,,,,,
R1,1,Resistor 100 0805,Vishay,CRCW0805100RFKEA,Panasonic,ERJ-6ENF1000V,Yageo,RC0805FR-07100RL,,,C193990,311-100CRCT-ND,603RC0805FR07100RL,6790807,,2459312
R2,1,Resistor 51 0805,Bourns,CR0805-JW-510ELF,Vishay,CRCW080551R0FKEA,TE Connectivity,CRG0805F51R,Viking Tech,CR-05FL7---51R,C416110,A126374CT-ND,652CR0805JW510ELF,6791538P,,1469944
R4,1,Resistor 0 0805,Vishay,CRCW08050000Z0EA,Panasonic,ERJ-6GEY0R00V,Yageo,RC0805JR-070RL,,,C169855,311-0.0ARCT-ND,603RC0805JR070RL,6790800,,1799478
"R5, R6, R7, R8",4,Resistor 1% 1k 0805,Vishay,CRCW08051K00FKEA,Panasonic,ERJ-6ENF1001V,Yageo,RC0805FR-071KL,,,C79496,311-1.00KCRCT-ND,603RC0805FR071KL,6790982,,2148706
"R9, R10",2,Resistor 1% 150 0805,Bourns,CR0805-FX-1500ELF,Vishay,CRCW0805150RFKEAHP,,,,,,CR0805-FX-1500ELFDKR-ND,652CR0805FX1500ELF,8123394,,2908392
U1,1,"Hex Schmitt-Trigger Inverter, 14-Pin SOIC, Commercial Grade 74LVC14AD M14A_N",Rochester Electronics,74LVC14AD,,74LVC14AD,,,,,,,,,,
U2,1,SN74LVC1G02DBV SOT-23-5L,Texas Instruments,SN74LVC1G02DBV,,SN74LVC1G02DBV,,,,,,,,,,
"U3, U5",2,10-Bit Bus-Interface D-Type Latch with 3-State Outputs SN74LVC841ADW DW024_N,Texas Instruments,SN74LVC841ADW,,SN74LVC841ADW,,,,,,296-8552-5-ND,595SN74LVC841ADW,,,1741602
"U4, U6",2,Single 10-bit ADC Parallel 20MSPS AD9200AR RS-28_N,Analog Devices,AD9200ARS,,,,,,,,,584AD9200ARS,,,
U7,1,"Fixed Low Drop Positive Voltage Regulator, 3.3V, 4-Pin SOT-223, Tape and Reel LD1117S33TR SOT223-4N",STMicroelectronics,LD1117S33TR,,LD1117S33TR,,,,,C86781,497-1242-1-ND,511LD1117S33,7140697,,2393623
